task_id,platform_id,coding-game_reason,coding_game,extras,harmful_any,harmful_visual,landcover-type_text,landcover-type_visual_0,landscape-type_expl_visual_0,landscape-type_expl_visual_3,landscape-type_other_text,landscape-type_other_visual_0,landscape-type_text,landscape-type_visual_0,landscape-type_visual_1,landscape-type_visual_2,landscape-type_visual_3,language_correct,media_relevant,nature_any,nature_text,nature_visual,nep_biological_expl_text,nep_biological_expl_visual_0,nep_biological_expl_visual_1,nep_biological_text,nep_biological_visual_0,nep_biological_visual_1,nep_biological_visual_2,nep_biological_visual_3,nep_materiality_expl_text,nep_materiality_expl_visual_0,nep_materiality_text,nep_materiality_visual_0,nep_materiality_visual_1,nep_materiality_visual_2,nep_materiality_visual_3,timestamps,user_ids
9338,1477596530618077184,,No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;Yes,No,,,,,,,,,,,,,,,,2025-03-31 08:04:41.322610+00:00;2025-03-27 23:00:43.261538+00:00,7;16
9339,1479332972339740672,,No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;Yes,No;No,No;Yes,,,,,,,,,,,,,,,,2025-03-31 08:44:20.496659+00:00;2025-03-31 08:47:02.061324+00:00,17;30
9340,1497905350657249282,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-04-01 07:27:04.362535+00:00;2025-04-01 07:43:20.485596+00:00,1;42
9341,1671549536177643520,,No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-27 12:04:20.764257+00:00;2025-03-31 08:37:37.549695+00:00,7;31
9342,1671851526174670857,,Yes,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,Yes;No,Yes;No,No;No,,,,biotic;biotic,,,,,,,immaterial;material,,,,,2025-03-31 09:49:26.262384+00:00;2025-03-28 11:16:33.662047+00:00,7;16
9343,1672032720052944899,,No;No,,,,,,,,,,none;none;none,artificial_surfaces;none;artificial_surfaces,none;none;none,none;none;none,none;none;none,Yes;Yes;Yes,Image 1;Image 1;Image 1,Yes;Yes;Yes,Yes;Yes;No,Yes;Yes;Yes,,,,biotic;biotic,biotic;biotic;biotic,,,,,,material;material,material;material;material,,,,2025-03-27 12:06:59.106898+00:00;2025-03-31 08:48:03.061683+00:00;2025-03-31 08:45:57.009543+00:00,7;15;17
9344,1672153515928502272,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 22:30:42.839904+00:00;2025-04-01 08:33:00.849359+00:00,1;42
9345,1672304511015067649,,No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-27 12:08:22.451207+00:00;2025-03-28 11:16:56.764939+00:00,7;16
9346,1672455505879392264,,No;No;No,Video game,,,,,,,,,none;none;none,none;none;none,none;none;none,none;none;none,none;none;none,Yes;Yes;Yes,Image 1;Image 1,Yes;Yes;No,No;No;No,Yes;Yes;No,,,,,biotic;biotic,,,,,,,material;immaterial,,,,2025-03-31 08:46:33.992908+00:00;2025-03-31 08:46:59.567440+00:00;2025-03-31 08:37:01.756336+00:00,16;17;31
9347,1672757495666802688,,No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-27 12:09:06.361261+00:00;2025-03-31 08:37:51.580600+00:00,7;31
