image_name,nature_visual,nep_materiality_visual,nep_biological_visual,landscape-type_visual,platform_id,index
1477143545832435712_0,No,,,,1477143545832435712,0
1477219043216142337_0,Yes,material,biotic,artificial_surfaces,1477219043216142337,0
1477219043216142337_1,Yes,material,biotic,artificial_surfaces,1477219043216142337,1
1478955485134995457_0,No,,,,1478955485134995457,0
1479936952363372545_1,Yes,material,abiotic,forest_and_seminatural_areas,1479936952363372545,1
1479936952363372545_2,Yes,material,abiotic,forest_and_seminatural_areas,1479936952363372545,2
1479936952363372545_3,Yes,material,abiotic,forest_and_seminatural_areas,1479936952363372545,3
1480691926978412547_0,No,,,,1480691926978412547,0
1481144911869411332_0,Yes,immaterial,biotic,,1481144911869411332,0
1481522399120347139_0,Yes,immaterial,biotic,,1481522399120347139,0
1481597896743079940_0,No,,,,1481597896743079940,0
1481597896743079940_1,No,,,,1481597896743079940,1
1483334338511269890_0,No,,,,1483334338511269890,0
1483560830918696962_0,Yes,immaterial,biotic,,1483560830918696962,0
1484391303160872961_0,No,,,,1484391303160872961,0
1484768790487437315_0,No,,,,1484768790487437315,0
1484768790487437315_1,No,,,,1484768790487437315,1
1484919785347497993_0,No,,,,1484919785347497993,0
1484919785347497993_1,No,,,,1484919785347497993,1
1485070780174159873_0,Yes,material,biotic,artificial_surfaces,1485070780174159873,0
1487109212186497025_0,No,,,,1487109212186497025,0
1489374136321384450_0,No,,,,1489374136321384450,0
1491261572961898500_0,No,,,,1491261572961898500,0
1492167542760169472_0,No,,,,1492167542760169472,0
1492847019878191104_0,No,,,,1492847019878191104,0
1492998014834778115_0,No,,,,1492998014834778115,0
1493224507393380355_0,No,,,,1493224507393380355,0
1493450999759089665_0,Yes,immaterial,abiotic,,1493450999759089665,0
1495036446679384068_0,Yes,material,abiotic,,1495036446679384068,0
1496244406243975169_0,Yes,immaterial,biotic,,1496244406243975169,0
1497452365716332546_0,Yes,material,biotic,,1497452365716332546,0
1498660325373227012_0,No,,,,1498660325373227012,0
1500774254471696384_0,No,,,,1500774254471696384,0
