task_id,platform_id,coding-game,coding-game_reason,extras,harmful_any,harmful_visual,landcover-type_text,landcover-type_visual_0,landcover-type_visual_1,landcover-type_visual_2,landscape-type_expl_text,landscape-type_expl_visual_0,landscape-type_expl_visual_1,landscape-type_expl_visual_3,landscape-type_other_text,landscape-type_other_visual_0,landscape-type_text,landscape-type_visual_0,landscape-type_visual_1,landscape-type_visual_2,landscape-type_visual_3,language_correct,media_relevant,nature_any,nature_text,nature_visual,nep_biological_expl_text,nep_biological_expl_visual_0,nep_biological_expl_visual_1,nep_biological_expl_visual_2,nep_biological_expl_visual_3,nep_biological_text,nep_biological_visual_0,nep_biological_visual_1,nep_biological_visual_2,nep_biological_visual_3,nep_materiality_expl_text,nep_materiality_expl_visual_0,nep_materiality_text,nep_materiality_visual_0,nep_materiality_visual_1,nep_materiality_visual_2,nep_materiality_visual_3,timestamps,user_ids
9338,1477596530618077184,No;No,,,,,,,,,,,,,,,none,none,none,none,none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-31 08:04:41.322610+00:00;2025-04-09 10:11:55.966908+00:00,7;29
9339,1479332972339740672,No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;Yes,No;No,No;Yes,,,,,,,,,,,,,,,,,,2025-03-31 08:44:20.496659+00:00;2025-03-31 08:47:02.061324+00:00,17;30
9340,1497905350657249282,No;No,,,,,,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-04-01 07:27:04.362535+00:00;2025-04-01 07:43:20.485596+00:00,1;42
9341,1671549536177643520,No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-27 12:04:20.764257+00:00;2025-03-31 08:37:37.549695+00:00,7;31
9342,1671851526174670857,Yes,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,Yes;No,Yes;No,No;No,,,,,,biotic;biotic,,,,,,,immaterial;material,,,,,2025-03-31 09:49:26.262384+00:00;2025-03-28 11:16:33.662047+00:00,7;16
9343,1672032720052944899,No;No,,,,,,,,,,,,,,,none;none;none,artificial_surfaces;none;artificial_surfaces,none;none;none,none;none;none,none;none;none,Yes;Yes;Yes,Image 1;Image 1;Image 1,Yes;Yes;Yes,Yes;Yes;No,Yes;Yes;Yes,,,,,,biotic;biotic,biotic;biotic;biotic,,,,,,material;material,material;material;material,,,,2025-03-27 12:06:59.106898+00:00;2025-03-31 08:48:03.061683+00:00;2025-03-31 08:45:57.009543+00:00,7;15;17
9344,1672153515928502272,No;No,,,,,,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-31 22:30:42.839904+00:00;2025-04-01 08:33:00.849359+00:00,1;42
9345,1672304511015067649,No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-27 12:08:22.451207+00:00;2025-03-28 11:16:56.764939+00:00,7;16
9346,1672455505879392264,No;No;No,,Video game,,,,,,,,,,,,,none;none;none,none;none;none,none;none;none,none;none;none,none;none;none,Yes;Yes;Yes,Image 1;Image 1,Yes;Yes;No,No;No;No,Yes;Yes;No,,,,,,,biotic;biotic,,,,,,,material;immaterial,,,,2025-03-31 08:46:33.992908+00:00;2025-03-31 08:46:59.567440+00:00;2025-03-31 08:37:01.756336+00:00,16;17;31
9347,1672757495666802688,No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-27 12:09:06.361261+00:00;2025-03-31 08:37:51.580600+00:00,7;31
9348,1673089684480708610,No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1,Yes;Yes,Yes;No,No;Yes,,,,,,abiotic,abiotic,,,,,,material,immaterial,,,,2025-03-27 12:10:45.421685+00:00;2025-03-31 08:40:39.359836+00:00,7;31
9349,1673210480494796801,No;No,,Sport;Sport,,,,,,,,,,,,,none;none,"none,forest_and_seminatural_areas;artificial_surfaces","none,forest_and_seminatural_areas;none","none,forest_and_seminatural_areas;none","none,forest_and_seminatural_areas;none",Yes;Yes,"Image 1,Image 2,Image 3,Image 4;Image 1",Yes;Yes,No;No,Yes;Yes,,,,,,,biotic;biotic,,,,,,,material;material,,,,2025-03-31 08:50:07.868157+00:00;2025-03-31 08:47:44.919743+00:00,7;17
9350,1673376575079825414,No;No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-31 08:48:20.555652+00:00;2025-03-31 08:49:02.374490+00:00,17;30
9351,1498056345580417025,No;No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1,Yes;No,No;No,Yes;No,,,,,,,biotic,,,,,,,immaterial,,,,2025-03-31 08:49:30.877640+00:00;2025-03-31 08:50:50.840594+00:00,17;30
9352,1673512470525403137,No;No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-31 08:50:41.381445+00:00;2025-03-31 08:49:40.508753+00:00,7;17
9353,1673708763893858306,No;No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-31 08:49:55.760877+00:00;2025-03-31 08:51:00.413066+00:00,17;30
9354,1673844659431305216,No;No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-31 08:50:31.383210+00:00;2025-03-31 08:50:16.250225+00:00,7;17
9355,1673965455323828224,No;No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-31 08:50:25.590316+00:00;2025-03-31 08:51:05.485836+00:00,17;30
9356,1674131549770641409,No;No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,2025-03-31 08:50:30.936425+00:00;2025-03-31 08:50:55.505413+00:00,17;30
9357,1674267445165686784,No;No,,,,,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;Yes,No;Yes,No;No,,,,,,biotic,,,,,,,immaterial,,,,,2025-03-31 08:51:31.222956+00:00;2025-03-31 08:51:13.546865+00:00,7;17
