task_id,platform_id,coding-game,coding-game_reason,extras,harmful_any,harmful_visual,landcover-type_text,landcover-type_visual_0,landscape-type_expl_text,landscape-type_expl_visual_0,landscape-type_other_text,landscape-type_text,landscape-type_visual_0,landscape-type_visual_1,landscape-type_visual_2,landscape-type_visual_3,language_correct,nature_any,nature_text,nature_visual_0,nature_visual_1,nature_visual_2,nature_visual_3,nature_visual_any,nep_biological_expl_text,nep_biological_expl_visual_0,nep_biological_expl_visual_1,nep_biological_expl_visual_2,nep_biological_expl_visual_3,nep_biological_text,nep_biological_visual_0,nep_biological_visual_1,nep_biological_visual_2,nep_biological_visual_3,nep_materiality_expl_text,nep_materiality_text,nep_materiality_visual_0,nep_materiality_visual_1,nep_materiality_visual_2,nep_materiality_visual_3,rel-value_text,rel-value_text_conf_aesthetics,rel-value_text_conf_cultural-identity,rel-value_text_conf_good-life,rel-value_text_conf_kinship,rel-value_text_conf_livelihoods,rel-value_text_conf_personal-identity,rel-value_text_conf_reciprocity,rel-value_text_conf_sense-of-agency,rel-value_text_conf_sense-of-place,rel-value_text_conf_social-relations,rel-value_text_conf_social-responsibility,rel-value_text_conf_spirituality,rel-value_text_conf_stewardship-principle,rel-value_text_conf_well-being,rel-value_text_expl,rel-value_visual_0,rel-value_visual_0_conf_aesthetics,rel-value_visual_0_conf_cultural-identity,rel-value_visual_0_conf_good-life,rel-value_visual_0_conf_reciprocity,rel-value_visual_0_conf_sense-of-agency,rel-value_visual_0_conf_social-cohesion,rel-value_visual_0_conf_social-relations,rel-value_visual_0_conf_spirituality,rel-value_visual_0_conf_stewardship-principle,rel-value_visual_0_conf_well-being,rel-value_visual_1,rel-value_visual_1_conf_social-relations,rel-value_visual_2,rel-value_visual_3,rel-value_visual_3_conf_spirituality,val-expr_text,val-expr_visual_0,val-expr_visual_1,val-expr_visual_2,val-expr_visual_3,visual_same_0,visual_same_1,visual_same_2,visual_same_3,timestamps,user_ids
32994,1477521033250885634,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 09:04:43.967717+00:00;2025-04-24 20:52:01.317363+00:00;2025-04-16 13:19:57.272163+00:00,7;10;42
32995,1479181977618112512,,,Sport;Sport,,,,,,,,none;none,artificial_surfaces;artificial_surfaces;artificial_surfaces,none;none,none;none,none;none,Yes;Yes;Yes,Yes;Yes;Yes,No;No;No,Yes;Yes;Yes,No;No;No,No;No;No,No;No;No,Yes;Yes;Yes,,,,,,,biotic;biotic;biotic,,,,,,material;material,,,,,,,,,,,,,,,,,,,,"aesthetics;sense-of-agency;social-cohesion,stewardship-eudaimonia,well-being",,,,,social-responsibility,,,,,,,,,,,Not codable;Not codable,Implicit;Implicit;Explicit,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Image 1,,,,2025-04-16 15:17:27.870355+00:00;2025-04-24 21:16:08.586785+00:00;2025-04-17 11:37:46.228449+00:00,7;10;17
32996,1659545438201032706,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-15 13:57:11.527168+00:00;2025-04-24 20:52:24.540996+00:00;2025-04-16 07:54:20.413522+00:00,7;10;42
32997,1510286935822065671,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-24 20:52:35.544282+00:00;2025-04-19 14:27:02.822649+00:00;2025-04-19 14:50:40.718480+00:00,10;17;42
32998,1497301370864427008,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 15:44:39.551749+00:00;2025-04-24 20:52:46.909928+00:00;2025-04-18 14:46:05.265423+00:00,7;10;42
32999,1660723198646689806,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 10:51:26.841372+00:00;2025-04-24 20:53:12.831011+00:00;2025-04-17 11:35:01.396973+00:00,7;10;17
33000,1609807703546953728,,,Video game,,,,,,,,none;none,none;none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;Yes;Yes,No;No;No,No;Yes;Yes,No;No;No,No;No;No,No;No;No,No;Yes;Yes,,sky,,,,,abiotic;abiotic,,,,,,immaterial;immaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 08:49:26.686275+00:00;2025-04-24 20:53:57.016000+00:00;2025-04-16 12:04:25.284994+00:00,7;10;42
33001,1479936952195551235,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Yes;Yes,Yes;Yes,No;No,No;No,No;No,No;No,No;No,,,,,,abiotic;abiotic,,,,,,immaterial;immaterial,,,,,cultural-identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 07:57:39.010148+00:00;2025-04-17 16:30:07.377361+00:00,7;10
33002,1646227684064632834,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-15 13:54:57.591402+00:00;2025-04-24 20:54:15.939042+00:00;2025-04-16 07:43:32.880406+00:00,7;10;42
33003,1662082153155375104,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-24 20:54:34.879275+00:00;2025-04-19 14:26:26.637305+00:00;2025-04-19 14:49:19.235884+00:00,10;17;42
